Date,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2024-04-03,507.0693664550781,44.68315887451172,80.88288879394531,45.54259490966797,40.387664794921875,121.5796127319336,102.39281463623047,70.68682861328125,35.89115905761719,30.710708618164062,139.25851440429688,88.48759460449219
2024-04-04,500.8801574707031,44.2309455871582,79.78895568847656,45.51445388793945,39.93191146850586,120.5101547241211,100.77339935302734,70.38333129882812,35.61097717285156,30.64937973022461,137.2474365234375,87.45008850097656
2024-04-05,506.11273193359375,44.6302375793457,80.5996322631836,46.00224304199219,40.31008529663086,122.18241882324219,101.92871856689453,70.49715423583984,35.844459533691406,30.739015579223633,138.47535705566406,87.93688201904297
2024-04-08,506.39581298828125,44.663917541503906,80.60941314697266,45.711448669433594,40.48463821411133,121.96851348876953,101.81022644042969,70.392822265625,36.15265655517578,30.941864013671875,138.0305938720703,88.77277374267578
2024-04-09,506.98162841796875,44.769752502441406,80.69731903076172,45.72551345825195,40.25190734863281,121.68656921386719,102.32369995117188,70.73426055908203,36.61028289794922,31.111696243286133,138.52371215820312,89.19072723388672
2024-04-10,501.90509033203125,44.07218551635742,80.06244659423828,45.86622619628906,39.650699615478516,120.64625549316406,101.06963348388672,70.47817993164062,35.10665512084961,30.578622817993164,136.8993682861328,87.81395721435547
2024-04-11,505.6929016113281,44.03850555419922,80.76567840576172,45.833396911621094,39.36949157714844,120.78237915039062,103.08895874023438,70.30745697021484,35.144012451171875,30.51729393005371,136.33853149414062,88.52201080322266
2024-04-12,498.71282958984375,43.259151458740234,79.43734741210938,45.08763885498047,38.845855712890625,119.48928833007812,101.4201889038086,69.59613037109375,34.7797737121582,30.286134719848633,134.3081512451172,87.08622741699219
2024-04-15,492.4649353027344,43.05228042602539,78.4312973022461,44.66551971435547,38.65191650390625,118.63369750976562,99.49468231201172,69.31160736083984,34.17271423339844,30.0078067779541,134.03741455078125,85.63568878173828
2024-04-16,491.5667419433594,42.720333099365234,78.1675796508789,44.27622604370117,38.390098571777344,118.3614730834961,99.61316680908203,69.34004974365234,33.64971160888672,29.611536026000977,134.08575439453125,85.14889526367188
2024-04-17,488.65753173828125,42.816551208496094,78.0992202758789,44.14958572387695,38.48706817626953,117.74895477294922,98.17643737792969,69.59613037109375,33.369529724121094,30.22952651977539,133.85369873046875,84.73587036132812
2024-04-18,487.65203857421875,42.83098220825195,78.48013305664062,44.01355743408203,38.622825622558594,117.34062194824219,97.0556869506836,69.91859436035156,33.378875732421875,30.399354934692383,133.8440399169922,84.20973205566406
2024-04-19,483.3955993652344,42.797306060791016,77.62062072753906,44.5435676574707,39.15615463256836,117.12672424316406,95.05612182617188,70.60147857666016,33.509620666503906,30.866384506225586,134.34681701660156,83.47218322753906
2024-04-22,487.8472900390625,42.840606689453125,77.72805786132812,44.83436584472656,39.63130569458008,118.011474609375,95.90531921386719,71.27485656738281,33.780460357666016,31.149429321289062,134.8592529296875,83.84095764160156
2024-04-23,493.6363830566406,42.47016525268555,78.90989685058594,45.08294677734375,39.8834228515625,119.65457153320312,97.32722473144531,71.47403717041016,34.088661193847656,31.295673370361328,136.6189727783203,84.83911895751953
2024-04-24,493.4020690917969,42.49903869628906,78.958740234375,45.115779876708984,39.87372970581055,118.7017593383789,97.7715835571289,72.0146484375,34.21941375732422,31.484373092651367,136.1935272216797,85.65044403076172
2024-04-25,491.5276794433594,42.802120208740234,76.14574432373047,45.32215118408203,39.64100646972656,119.06148529052734,97.55928039550781,71.84392547607422,34.023284912109375,31.569284439086914,135.28465270996094,85.72418975830078
2024-04-26,496.1844177246094,43.06671905517578,78.2457275390625,44.90471649169922,39.582820892333984,119.25595092773438,98.6602783203125,71.69217681884766,34.05130386352539,31.224916458129883,135.32334899902344,86.49617004394531
2024-04-29,497.94158935546875,43.427528381347656,77.33736419677734,45.2095832824707,39.524635314941406,120.05318450927734,99.08487701416016,71.91980743408203,34.434207916259766,31.649477005004883,135.7777862548828,88.50727081298828
2024-04-30,490.0535583496094,42.6385498046875,76.04808807373047,43.86347579956055,39.13676071166992,118.14757537841797,96.90264129638672,71.60682678222656,33.799137115478516,31.484373092651367,135.68109130859375,86.35357666015625
2024-05-01,488.4623107910156,42.8598518371582,76.75133514404297,43.16462326049805,39.13676071166992,117.85590362548828,95.9102554321289,71.15156555175781,33.81781768798828,31.847618103027344,135.92283630371094,85.81271362304688
2024-05-02,493.0310974121094,42.6385498046875,77.52295684814453,43.4132080078125,39.23372268676758,118.53648376464844,97.29267120361328,71.74907684326172,34.303466796875,32.01744842529297,135.82614135742188,86.89446258544922
2024-05-03,499.14239501953125,43.07152557373047,78.3434066772461,43.41790008544922,39.321006774902344,119.36288452148438,100.00320434570312,71.96722412109375,34.574310302734375,32.272186279296875,136.16453552246094,87.47959899902344
2024-05-06,504.2969055175781,43.33130645751953,79.40802764892578,43.76029586791992,39.82524490356445,120.5684814453125,101.17826843261719,72.0051498413086,34.58364486694336,32.43730545043945,136.71563720703125,88.41382598876953
2024-05-07,504.85345458984375,43.84607696533203,79.49594116210938,43.71807861328125,39.96099853515625,120.89905548095703,100.84747314453125,72.79237365722656,34.9478759765625,32.80527114868164,137.84690856933594,87.77954864501953
2024-05-08,504.9021301269531,43.64402389526367,79.36898040771484,43.66648483276367,40.10645294189453,120.89905548095703,101.13382720947266,72.57421112060547,34.621002197265625,33.149635314941406,137.37310791015625,87.45008850097656
2024-05-09,507.8113708496094,44.129913330078125,79.76942443847656,44.25277328491211,40.40705490112305,122.10462951660156,101.10420227050781,73.20018005371094,35.44287109375,33.6544075012207,138.55270385742188,88.04505157470703
2024-05-10,508.4656066894531,44.18282699584961,79.8866195678711,44.008880615234375,40.56221008300781,122.19213104248047,101.47943115234375,73.61750030517578,35.31211853027344,33.62138366699219,138.8330841064453,87.5730209350586
2024-05-13,508.53375244140625,44.15396499633789,79.74011993408203,43.89162063598633,40.39736557006836,121.67684936523438,101.95833587646484,73.4088363647461,35.405513763427734,33.62138366699219,138.69772338867188,87.45992279052734
2024-05-14,510.86700439453125,44.197265625,80.10150146484375,43.94790267944336,40.60099792480469,121.64766693115234,102.86184692382812,73.2665786743164,35.65766906738281,33.711021423339844,139.2875213623047,87.85820770263672
2024-05-15,517.1930541992188,44.27424240112305,80.60941314697266,44.0463981628418,40.90159606933594,122.44491577148438,105.17740631103516,73.31399536132812,36.26473617553711,34.215789794921875,141.3566436767578,87.99097442626953
2024-05-16,516.1290283203125,43.95672607421875,80.55081939697266,43.92445373535156,40.90159606933594,121.71573638916016,104.81204223632812,74.35726928710938,36.19935607910156,34.09784698486328,141.1922607421875,87.42058563232422
2024-05-17,516.8709106445312,44.33197021484375,80.68754577636719,44.538875579833984,41.202205657958984,121.85184478759766,104.58000946044922,74.17708587646484,36.19935607910156,34.12614822387695,141.46298217773438,87.8680419921875
2024-05-20,517.4664916992188,44.394508361816406,80.92196655273438,44.248077392578125,40.63978576660156,122.0851821899414,105.80936431884766,73.6649169921875,35.9752197265625,34.069549560546875,141.1632537841797,87.21407318115234
2024-05-21,518.7354736328125,44.394508361816406,80.81451416015625,44.03232955932617,40.90159606933594,121.68656921386719,105.98217010498047,74.10118103027344,35.94719696044922,34.37618637084961,141.4049835205078,87.77460479736328
2024-05-22,517.2418823242188,43.96153259277344,80.91218566894531,43.188079833984375,40.66887283325195,121.8323974609375,106.21914672851562,73.80718231201172,35.63899230957031,33.97047424316406,141.65635681152344,86.86003875732422
2024-05-23,513.4638671875,43.57185363769531,79.99407958984375,42.794097900390625,40.10645294189453,120.39347076416016,105.35513305664062,72.93461608886719,34.882503509521484,33.39494705200195,140.109375,85.45376586914062
2024-05-24,516.8612060546875,43.9519157409668,81.0196304321289,42.85506820678711,40.348880767822266,121.00598907470703,106.24383544921875,73.12430572509766,34.882503509521484,33.72988510131836,139.63558959960938,86.31425476074219
2024-05-28,517.222412109375,43.78353500366211,81.15638732910156,43.29594802856445,39.9028205871582,119.5281753540039,106.69312286376953,72.55525207519531,34.67704391479492,33.696861267089844,137.94358825683594,86.10281372070312
2024-05-29,513.6004028320312,43.15812301635742,80.72661590576172,42.53144454956055,39.582820892333984,117.83645629882812,106.0167236328125,72.03361511230469,34.35016632080078,33.26286315917969,136.87034606933594,85.53734588623047
2024-05-30,510.19342041015625,43.50932312011719,80.46289825439453,42.65338134765625,39.7961540222168,118.64342498779297,103.59748840332031,72.22329711914062,34.84514617919922,33.711021423339844,136.9380340576172,86.04381561279297
2024-05-31,514.84033203125,44.03369903564453,81.32241821289062,43.71338653564453,40.37796401977539,120.08235931396484,103.76042175292969,73.35193634033203,35.5362663269043,34.305419921875,138.93946838378906,86.52568054199219
2024-06-03,515.2600708007812,43.773902893066406,81.64474487304688,42.56896209716797,40.12584686279297,118.61425018310547,104.0220947265625,73.323486328125,35.39617156982422,33.91386413574219,139.91600036621094,86.4863510131836
2024-06-04,515.8361206054688,43.28801727294922,81.95731353759766,42.16090774536133,39.94160079956055,118.32258605957031,104.23933410644531,73.95894622802734,35.732383728027344,33.899715423583984,140.3220672607422,86.57485961914062
2024-06-05,521.9668579101562,43.58628845214844,82.95355987548828,42.15621566772461,40.0579719543457,119.5184555053711,106.55488586425781,73.79769897460938,35.68568801879883,33.706298828125,140.96022033691406,87.08130645751953
2024-06-06,521.9572143554688,43.634395599365234,83.00239562988281,42.37665939331055,40.03857421875,118.80870819091797,106.19940948486328,74.02532196044922,35.741729736328125,33.357200622558594,141.42433166503906,87.71561431884766
2024-06-07,521.3226318359375,43.19660568237305,82.43589782714844,42.20780944824219,40.22281265258789,118.93510437011719,106.4462661743164,73.65544128417969,35.4615478515625,32.99395751953125,141.57899475097656,87.3566665649414
2024-06-10,522.9332885742188,43.15331268310547,82.6410140991211,42.52674865722656,40.067665100097656,119.3045654296875,106.7177963256836,73.5985336303711,35.63899230957031,33.41853332519531,142.1011199951172,87.6369400024414
